step	time	CMx	CMy	CMz	quat_0	quat_1	quat_2	quat_3	vel_x	vel_y	vel_z	angvel_x	angvel_y	angvel_z	volume	J0	J1	J2	J3	J4	J5
30	3.6752031e-03	6.5000000e-01	4.9999852e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	4.4338853e-05	3.3061142e-07	-4.0782385e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4881509e-02	9.2669133e-05	8.8216649e-09	3.1393522e-07	3.0836768e-07	-3.9145376e-11	4.0409835e-13	-7.6203577e-14
31	3.9278123e-03	6.5000000e-01	4.9999841e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	4.7587418e-05	2.9559414e-07	-4.0717057e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4893064e-02	9.2669401e-05	8.8214369e-09	3.1394560e-07	3.0837839e-07	-4.1635447e-11	-3.6327077e-13	-1.1655082e-13
32	4.1888139e-03	6.5000000e-01	4.9999831e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	5.0942205e-05	2.2215032e-07	-4.0638743e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4906184e-02	9.2666835e-05	8.8209868e-09	3.1394975e-07	3.0838276e-07	-4.4636972e-11	-8.4786575e-14	-7.1898910e-14
33	4.4582078e-03	6.5000000e-01	4.9999819e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	5.4405248e-05	1.0843075e-07	-4.0560056e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4933147e-02	9.2666092e-05	8.8207721e-09	3.1396397e-07	3.0839711e-07	-4.6850451e-11	-4.9657342e-13	-3.3450810e-14
34	4.7359941e-03	6.5000000e-01	4.9999808e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	5.7978092e-05	-5.8484591e-09	-4.0456965e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.4969331e-02	9.2666189e-05	8.8207735e-09	3.1398444e-07	3.0841744e-07	-4.9378558e-11	-4.6102546e-13	-8.2484232e-15
35	5.0221727e-03	6.5000000e-01	4.9999796e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	6.1660585e-05	-1.3160360e-07	-4.0388433e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.5002423e-02	9.2668060e-05	8.8210117e-09	3.1400825e-07	3.0844110e-07	-5.1931666e-11	-6.3771849e-13	3.9578888e-14
36	5.3167436e-03	6.5000000e-01	4.9999784e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	6.5454265e-05	-3.0387394e-07	-4.0349622e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.5043829e-02	9.2668301e-05	8.8207924e-09	3.1403053e-07	3.0846367e-07	-5.4610888e-11	-7.7321689e-13	1.0114954e-13
37	5.6197068e-03	6.5000000e-01	4.9999771e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	6.9361323e-05	-5.1861353e-07	-4.0280566e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.5097075e-02	9.2670847e-05	8.8209958e-09	3.1405561e-07	3.0848880e-07	-5.7593575e-11	-5.8451539e-13	1.6581866e-13
38	5.9310624e-03	6.5000000e-01	4.9999758e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	7.3381966e-05	-7.9913697e-07	-4.0190121e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.5148835e-02	9.2670783e-05	8.8207628e-09	3.1407533e-07	3.0850871e-07	-5.8980196e-11	-6.4989331e-13	1.6123023e-13
39	6.2508104e-03	6.5000000e-01	4.9999745e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	7.7518411e-05	-1.1010548e-06	-4.0091306e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.5211442e-02	9.2669329e-05	8.8206387e-09	3.1406769e-07	3.0850111e-07	-6.1441380e-11	-4.8744325e-13	1.1845359e-13
40	6.5789506e-03	6.5000000e-01	4.9999732e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	8.1772883e-05	-1.3319793e-06	-4.0018550e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.5284160e-02	9.2670714e-05	8.8205164e-09	3.1408479e-07	3.0851846e-07	-6.4585431e-11	-5.6141916e-13	1.5790743e-13
41	6.9154832e-03	6.5000000e-01	4.9999718e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	8.6148848e-05	-1.6635912e-06	-3.9937759e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.5373435e-02	9.2673994e-05	8.8210965e-09	3.1412211e-07	3.0855532e-07	-6.7060678e-11	-1.0509144e-12	1.3661682e-13
42	7.2604081e-03	6.5000000e-01	4.9999704e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	9.0649927e-05	-1.9727239e-06	-3.9810357e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.5478966e-02	9.2676506e-05	8.8215921e-09	3.1416706e-07	3.0859972e-07	-7.0828956e-11	-9.0258337e-13	1.0035942e-13
43	7.6137254e-03	6.5000000e-01	4.9999689e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	9.5275824e-05	-2.3420296e-06	-3.9693853e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.5577960e-02	9.2680173e-05	8.8218416e-09	3.1420789e-07	3.0864058e-07	-7.4173594e-11	-1.8945073e-12	1.1820200e-13
44	7.9754350e-03	6.5000000e-01	4.9999675e-01	5.0000000e-01	9.9999999e-01	0.0000000e+00	0.0000000e+00	1.0002843e-04	-2.7629691e-06	-3.9596226e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.5682680e-02	9.2680078e-05	8.8213571e-09	3.1423222e-07	3.0866541e-07	-7.7315203e-11	-1.7566434e-12	1.4726667e-13
45	8.3455369e-03	6.5000000e-01	4.9999660e-01	5.0000000e-01	9.9999999e-01	0.0000000e+00	0.0000000e+00	1.0491024e-04	-3.3385462e-06	-3.9512280e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.5795941e-02	9.2682362e-05	8.8214289e-09	3.1427071e-07	3.0870393e-07	-7.9640520e-11	-1.9892751e-12	1.8874490e-13
46	8.7240312e-03	6.4999999e-01	4.9999645e-01	5.0000000e-01	9.9999999e-01	0.0000000e+00	0.0000000e+00	1.0992532e-04	-3.8510427e-06	-3.9420531e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.5925361e-02	9.2683611e-05	8.8216577e-09	3.1431384e-07	3.0874665e-07	-8.1931603e-11	-2.1027403e-12	1.9176957e-13
47	9.1109178e-03	6.4999999e-01	4.9999629e-01	5.0000000e-01	9.9999999e-01	0.0000000e+00	0.0000000e+00	1.1507671e-04	-4.3533441e-06	-3.9282937e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	2.6064541e-02	9.2688245e-05	8.8222234e-09	3.1436939e-07	3.0880182e-07	-8.6609216e-11	-2.6943925e-12	2.0101639e-13
