step	time	mass	force_x	force_y	force_z	torque_x	torque_y	torque_z
57	4.2568601e-04	3.1146248e-04	8.4878567e-03	-4.5325370e-08	1.0074196e-18	1.7388282e-21	-1.1590576e-19	4.2450942e-09
58	4.4091640e-04	3.1146248e-04	8.3792139e-03	-4.4633366e-08	-3.9252709e-18	-8.7405788e-22	-3.3661641e-19	4.1830987e-09
59	4.5644612e-04	3.1146248e-04	8.2731212e-03	-4.3584189e-08	2.8116265e-18	1.2492814e-21	-1.3498988e-20	4.1227865e-09
60	4.7227789e-04	3.1146248e-04	8.1694308e-03	-4.2354211e-08	-9.3714151e-19	1.1817136e-21	1.5055253e-19	4.0654771e-09
61	4.8841442e-04	3.1146248e-04	8.0709039e-03	-4.1175806e-08	9.1240283e-19	9.1380214e-21	1.1731308e-19	4.0133169e-09
62	5.0485009e-04	3.1146248e-04	7.9759812e-03	-3.9971721e-08	-2.0247346e-18	-6.5070317e-22	2.5382388e-19	3.9608168e-09
63	5.2157838e-04	3.1146248e-04	7.8806827e-03	-3.8702852e-08	-1.8234930e-18	-2.6671387e-21	1.3863126e-19	3.9037431e-09
64	5.3860203e-04	3.1146248e-04	7.7864508e-03	-3.7572717e-08	2.3632001e-18	-3.5467252e-21	4.8340134e-19	3.8513065e-09
65	5.5592388e-04	3.1146248e-04	7.6937387e-03	-3.6706823e-08	2.2808051e-18	-2.0242171e-21	1.8925720e-19	3.8021134e-09
66	5.7354688e-04	3.1146248e-04	7.6026499e-03	-3.5959630e-08	2.3858183e-18	-8.4565889e-22	3.9060605e-19	3.7574660e-09
67	5.9147402e-04	3.1146248e-04	7.5131835e-03	-3.5409166e-08	4.0238217e-19	-3.2667242e-21	-2.7608554e-20	3.7202334e-09
68	6.0970841e-04	3.1146248e-04	7.4281883e-03	-3.5011063e-08	-2.6283978e-19	-3.1360734e-21	-3.2551399e-19	3.6948092e-09
69	6.2824333e-04	3.1146248e-04	7.3458700e-03	-3.4700300e-08	-1.0089342e-18	5.8998291e-21	-2.1064795e-19	3.6716589e-09
