# Something went kaputet when restarted, but steady state still fine
step	time	mass	force_x	force_y	force_z	torque_x	torque_y	torque_z
2268	1.0574338e+00	5.2359877e-04	1.8164722e-04	1.2369339e-20	6.8157582e-22	-4.4176211e-23	-4.3387350e-23	-2.1693675e-21
2269	1.0579106e+00	5.2359877e-04	1.8097543e-04	-3.2564178e-20	3.8269220e-20	8.7144478e-24	2.5843083e-21	6.2793328e-22
2270	1.0583875e+00	5.2359877e-04	1.8031217e-04	2.2965319e-20	2.5268793e-20	3.9443045e-24	-4.5943259e-21	-1.2621774e-21
2271	1.0588643e+00	5.2359877e-04	1.7965724e-04	2.3123091e-20	-3.3927330e-20	7.0997481e-24	3.5972057e-21	-2.9913606e-21
2272	1.0593412e+00	5.2359877e-04	1.7901049e-04	-7.9567666e-20	2.5054222e-20	-1.2227344e-23	4.4049993e-21	4.1651856e-22
2273	1.0598180e+00	5.2359877e-04	1.7837175e-04	-2.5962990e-20	8.2798841e-21	1.4791142e-23	-2.6442618e-21	2.0438400e-21
2274	1.0602948e+00	5.2359877e-04	1.7774084e-04	1.3606273e-20	-2.9080568e-20	-2.6821271e-23	-1.6029654e-21	4.3608231e-21
2275	1.0607717e+00	5.2359877e-04	1.7711763e-04	1.2116904e-20	4.0490653e-20	4.6320926e-23	2.9314071e-21	2.2340541e-21
2276	1.0612485e+00	5.2359877e-04	1.7650195e-04	5.9254498e-20	-3.1302001e-21	-4.0429121e-24	-4.4649527e-21	-1.1548924e-21
2277	1.0617253e+00	5.2359877e-04	1.7589366e-04	2.7061084e-20	-1.3151889e-20	8.8746852e-23	5.3658319e-21	8.7090244e-22
2278	1.0622022e+00	5.2359877e-04	1.7529261e-04	1.1359597e-20	6.3550635e-21	-7.5927862e-24	-3.9064392e-21	4.9224920e-22
2279	1.0626790e+00	5.2359877e-04	1.7469866e-04	-2.3362905e-20	3.4406957e-20	-1.0649622e-23	-2.7136815e-22	3.0308036e-21
2280	1.0631559e+00	5.2359877e-04	1.7411168e-04	-1.4792720e-20	-3.5340969e-20	-3.3329373e-23	-2.0747042e-21	-3.4050195e-21
2281	1.0636327e+00	5.2359877e-04	1.7353153e-04	3.5643891e-20	1.4035413e-20	4.2302666e-23	2.0005513e-21	-9.5136625e-22
2282	1.0641095e+00	5.2359877e-04	1.7295808e-04	6.2200105e-20	-2.6101830e-20	-1.4298104e-23	-2.8398993e-22	8.8352421e-22
